Membership No  Date Joined  Active  
    10719      2019-4-3     no    
    70624      2016-8-22    yes   
    20013      2019-3-24    yes   
    65868      2015-1-11    yes   
    88797      2016-5-16    yes   
    13238      2020-9-4     no    
    99449      2018-7-24    no    
    50661      2017-12-19   no    
    15050      2015-7-4     no    
    56599      2017-9-25    yes   
    15374      2017-2-10    no    
    26515      2019-8-23    yes   
    71836      2017-3-10    no    
    58999      2018-12-11   no    
    88507      2019-9-22    yes   
    15586      2016-3-19    yes   
    53360      2015-1-2     yes   
    56010      2017-6-17    no    
    79247      2015-12-17   yes   
    15565      2015-9-8     no    
