Membership No  Date Joined  Active  
    49014      2018-3-10    no    
    77092      2018-10-13   no    
    14801      2018-6-1     no    
    10719      2019-4-3     no    
    13238      2020-9-4     no    
    99449      2018-7-24    no    
    50661      2017-12-19   no    
    15050      2015-7-4     no    
    15374      2017-2-10    no    
    71836      2017-3-10    no    
    58999      2018-12-11   no    
    56010      2017-6-17    no    
    15565      2015-9-8     no    
    10719      2019-4-3     no    
    10719      2019-4-3     no    
    10719      2019-4-3     no    
    10719      2019-4-3     no    
