titulo_cancion,genero,duracion
Classy 101,,3:15
Ojos Color Sol (feat. Silvio Rodríguez),,3:35
Sabor a Mí,,2:48
La Copa Rota,,2:56
Todo Se Derrumbó Dentro de Mí,,5:12
Historia de un Amor,,2:30
El Contragolpe,,2:33
Ocultame Esos Ojos,,2:57
No Renunciaré,,3:06
Cama y Mesa - Cama e Mesa,,3:15
Ayer y Hoy,,2:21
Corazón Vacío,,2:50
Hola Soledad,,2:51
La Llorona,,8:10
Bésame Mucho,,3:00
Mujeres Divinas,,3:13
Acá Entre Nos,,3:15
Estos Celos,,3:10
Ódiame,,2:52
DÁKITI,,3:25
Get Into It (Yuh),,2:18
Pa' Olvidarme De Ella,,3:47
2 Minutes to Midnight - 2015 Remaster,,6:03
The Final Countdown,,5:10
La Leyenda Del Hada Y El Mago,,5:22
Nuestra Aflicción,,5:06
Nothing Else Matters,,6:28
Hey Boogie Woman,,3:10
Voices - Live at Red Rocks,,3:16
Rock N Roll Train,,4:21
Rollin' (Air Raid Vehicle),,3:33
One,,7:27
Californication,,5:29
Disculpa los Malos Pensamientos,,3:58
It's My Life,,3:44
Mario Bros. 3,,1:56
R U Mine?,,3:21
AOV,,5:32
Smells Like Teen Spirit,,5:01
Blitzkrieg Bop - 2016 Remaster,,2:14
Rape Me,,2:50
The Trooper - 2015 Remaster,,4:12
Last Resort,,3:19
"Boulevard of Broken Dreams (feat. John Gallagher Jr., Rebecca Naomi Jones, Stark Sands, The American Idiot Broadway Company)",,4:22
The Game,,3:47
Hayloft,,3:01
Ya No Jalaba,,2:54
Custer,,4:14
Wake Me up When September Ends,,4:45
Back In Black,,4:15
