ID ,GENERO ,AFICCION ,PESO (Kg),ESTATURA (Mts),,,,,,
,1. MASCULINO,1.LECTURA,,,,,,,,
,2. FEMENINO,2. DEPORTE ,,,,,,,,
,,3. MUSICA ,,,,TABLA DE FRECUENCIA ,,,,
DATOS: DISTRIBUCION DE LOS ESTUDIANTES DE PROBABILIDAD SEGUN EL GENERO ,,,,,,X,FRECUENCIA ANSOLUTA ,FRECUENCIA RELATIVA,PORCENTAJE ,
ID ,GENERO ,AFICCION ,PESO (Kg),ESTATURA (Mts),,MASCULINO,30,0.714,71.4%,
1,1,2,60,1.7,,FEMENINO ,12,0.286,28.6%,
2,2,1,82,1.64,,,42,,100%,
3,2,3,55,1.65,,,,,,
4,1,2,65,1.67,,TOTALES DISTRIBUTIVOS ,,,,
5,2,3,50,1.6,,GENERO/AFICION ,LECTURA,DEPORTE,MUSICA,TOTAL
6,1,2,65,1.7,,MASCULINO ,1,20,9,30
7,1,2,75,1.78,,FEMENINO ,2,3,7,12
8,2,3,77,1.67,,TOTAL,3,23,16,42
9,1,3,65,1.65,,,,,,
10,1,2,91,1.83,,,,,,
11,1,2,89,1.79,,GENERO/AFICION ,LECTURA,DEPORTE,MUSICA,TOTAL
12,1,3,70,1.8,,MASCULINO ,3.3%,66.7%,30.0%,100%
13,1,2,72,1.75,,FEMENINO ,16.7%,25.0%,58.3%,100%
14,2,3,72,1.66,,,,,,
15,1,3,62,1.73,,,,,,
16,1,2,60,1.7,,GENERO/AFICION ,LECTURA,DEPORTE,MUSICA,
17,1,2,79,1.7,,MASCULINO ,33.33%,86.96%,56.25%,
18,1,2,80,1.7,,FEMENINO ,66.67%,13.04%,43.75%,
19,2,3,70,1.7,,,,,,
20,1,3,88,1.75,,,,,,
21,1,3,60,1.7,,GENERO/AFICION ,LECTURA,DEPORTE,MUSICA,TOTAL
22,1,3,70,1.65,,MASCULINO ,2.38%,47.62%,21.43%,71.43%
23,1,2,63,1.7,,FEMENINO ,4.76%,7.14%,16.67%,28.57%
24,1,2,60,1.85,,TOTAL,7.14%,54.76%,38.10%,100%
25,2,3,54,1.7,,,,,,
26,2,2,60,1.62,,,,,,
27,1,2,63,1.72,,,,,,
28,1,2,76,1.88,,,,,,
29,1,2,62,1.8,,,,,,
30,2,3,52,1.62,,,,,,
31,1,3,82,1.85,,,,,,
32,1,2,64,1.84,,,,,,
33,2,2,47,1.55,,,,,,
34,1,2,77,1.91,,,,,,
35,1,2,96,1.8,,,,,,
36,1,2,62,1.73,,,,,,
37,2,2,64,1.65,,,,,,
38,1,3,86,1.7,,,,,,
39,1,3,70,1.71,,,,,,
40,1,2,65,1.77,,,,,,
41,1,1,68,1.65,,,,,,
42,2,1,64,167,,,,,,
