Administrative;ProductRelated;ProductRelated_Duration;BounceRates;ExitRates;PageValues;M11;New_Visitor;Returning_Visitor;Revenue
0;1;0;0,2;0,2;0;0;0;1;0
0;2;64;0;0,1;0;0;0;1;0
0;1;0;0,2;0,2;0;0;0;1;0
0;2;2666666667;0,05;0,14;0;0;0;1;0
0;10;627,5;0,02;0,05;0;0;0;1;0
0;19;1542166667;0,015789474;0,024561404;0;0;0;1;0
0;1;0;0,2;0,2;0;0;0;1;0
1;0;0;0,2;0,2;0;0;0;1;0
0;2;37;0;0,1;0;0;0;1;0
0;3;738;0;0,022222222;0;0;0;1;0
0;3;395;0;0,066666667;0;0;0;1;0
0;16;407,75;0,01875;0,025833333;0;0;0;1;0
0;7;280,5;0;0,028571429;0;0;0;1;0
0;6;98;0;0,066666667;0;0;0;1;0
0;2;68;0;0,1;0;0;0;1;0
2;23;1668285119;0,008333333;0,016312636;0;0;0;1;0
0;1;0;0,2;0,2;0;0;0;1;0
0;13;3349666667;0;0,007692308;0;0;0;1;0
0;2;32;0;0,1;0;0;0;1;0
0;20;2981166667;0;0,01;0;0;0;1;0
0;8;1361666667;0;0,008333333;0;0;0;1;0
0;2;0;0,2;0,2;0;0;0;1;0
0;3;105;0;0,033333333;0;0;0;1;0
0;2;15;0;0,1;0;0;0;1;0
0;1;0;0,2;0,2;0;0;0;1;0
0;5;156;0;0,04;0;0;0;1;0
4;32;1135444444;0,002857143;0,00952381;0;0;0;1;0
0;4;76;0,05;0,1;0;0;0;1;0
0;4;63;0;0,05;0;0;0;1;0
1;45;1582,75;0,043478261;0,050821256;5417976426;0;0;1;0
0;2;35;0;0,1;0;0;0;1;0
0;3;78;0;0,066666667;0;0;0;1;0
0;8;209,5;0;0,025;0;0;0;1;0
0;10;1836666667;0,04;0,08;0;0;0;1;0
0;14;380,5;0,014285714;0,028571429;0;0;0;1;0
0;52;2086242857;0,015384615;0,020352564;0;0;0;1;0
0;8;388;0,025;0,05625;0;0;0;1;0
2;5;298;0;0,028571429;0;0;0;1;0
0;7;63;0,028571429;0,071428571;0;0;0;1;0
0;9;482;0;0,022222222;0;0;0;1;0
1;46;4084393939;0;0,001794872;0;0;0;1;0
0;3;22;0;0,066666667;0;0;0;1;0
