id_propiedad,zona,piso,estrato,precio_millones,area_construida,parqueaderos,banios,habitaciones,tipo_vivienda,barrio,longitud,latitud,id_comentarios
8312,zona oeste,4,6,1300.0,318.0,2,4,2,apartamento,arboleda,-76576.0,3454.0,33
8311,zona oeste,1,6,480.0,300.0,1,4,4,casa,normandía,-76571.0,3454.0,1
8307,zona oeste,4,5,1200.0,800.0,4,7,5,casa,miraflores,-76568.0,3455.0,25
8296,zona sur,2,3,220.0,150.0,1,2,4,casa,el guabal,-76565.0,3417.0,29
8297,zona oeste,4,5,330.0,112.0,2,4,3,casa,bella suiza alta,-76565.0,3408.0,23
8298,zona sur,4,5,1350.0,390.0,8,10,10,casa,bella suiza alta,-76565.0,3409.0,32
8299,zona sur,2,6,305.0,125.0,2,3,3,apartamento,bella suiza,-76565.0,3408.0,21
8300,zona oeste,4,5,480.0,280.0,4,4,4,apartamento,bella suiza alta,-76565.0,3408.0,7
8286,zona sur,4,5,275.0,74.0,1,2,3,apartamento,valle del lili,-76564.0,3409.0,13
8287,zona sur,2,5,285.0,120.0,2,4,3,apartamento,bella suiza,-76564.0,3.41,34
8288,zona sur,1,5,310.0,166.0,2,4,3,apartamento,bella suiza,-76564.0,3.41,33
8281,zona oeste,3,3,175.0,155.0,1,4,6,casa,el nacional,-76563.0,3421.0,8
8282,zona oeste,6,6,640.0,157.0,2,3,3,apartamento,santa teresita,-76563.0,3418.0,6
8283,zona oeste,3,3,98.0,60.0,1,2,3,apartamento,aguacatal,-76563.0,3458.0,15
8274,zona oeste,2,5,416.0,98.0,1,2,2,apartamento,santa teresita,-76562.0,3418.0,7
8275,zona oeste,8,6,700.0,123.0,2,3,4,apartamento,bellavista,-76562.0,3423.0,9
8276,zona oeste,4,5,393.0,131.0,2,3,3,apartamento,bellavista,-76562.0,3423.0,25
8277,zona oeste,6,6,700.0,240.0,2,5,4,apartamento,el peñon,-76562.0,345.139,27
8265,zona sur,4,6,1390.0,350.0,4,7,3,casa,la riverita,-76561.0,3455.0,34
8266,zona oeste,4,6,360.0,90.0,1,1,2,apartamento,normandía,-76561.0,3453.0,6
8267,zona oeste,3,3,110.0,55.0,1,1,3,apartamento,miradol del aguacatal,-76561.0,3461.0,26
8268,zona oeste,3,3,142.0,50.0,2,1,2,apartamento,aguacatal,-76561.0,3455.0,25
8269,zona oeste,4,4,123.0,60.0,1,1,2,apartamento,aguacatal,-76561.0,3455.0,8
8226,zona oeste,3,3,165.0,114.0,1,4,6,casa,terrón colorado,-76559.0,3452.0,8
8227,zona oeste,1,6,1400.0,300.0,2,4,3,apartamento,normandía,-76559.0,3375.0,5
8228,zona sur,1,3,145.0,60.0,1,2,3,apartamento,mel√©ndez,-76559.0,3386.0,30
8229,zona sur,8,4,240.0,90.0,1,2,3,apartamento,guadalupe,-76559.0,3417.0,3
8230,zona oeste,4,6,440.0,97.0,2,2,2,apartamento,cristales,-76559.0,3419.0,22
8231,zona oeste,9,6,750.0,150.0,2,4,3,apartamento,cristales,-76559.0,3419.0,14
8232,zona oeste,2,6,900.0,250.0,2,5,4,apartamento,bellavista,-76559.0,3419.0,8
8233,zona oeste,4,6,900.0,342.0,3,5,3,apartamento,la arboleda,-76559.0,3388.0,8
8234,zona oeste,4,6,1100.0,320.0,3,4,3,apartamento,aguacatal,-76559.0,3458.0,17
8214,zona sur,3,5,850.0,320.0,2,6,5,casa,brisas de guadalupe,-76558.0,3412.0,22
8215,zona oeste,9,6,1200.0,194.0,3,4,3,apartamento,santa teresita,-76558.0,3447.0,16
8185,zona sur,3,3,700.0,700.0,3,3,6,casa,el refugio,-76557.0,3395.0,3
8186,zona sur,4,5,420.0,310.0,2,3,4,casa,altos de guadalupe,-76557.0,3408.0,4
8187,zona sur,2,5,650.0,200.0,2,4,3,casa,altos de guadalupe,-76557.0,3408.0,31
8188,zona oeste,4,5,340.0,150.0,2,4,4,apartamento,seminario,-76557.0,3408.0,2
8189,zona oeste,8,5,690.0,142.0,2,3,3,apartamento,santa teresita,-76557.0,3447.0,24
8190,zona oeste,9,6,560.0,140.0,2,3,3,apartamento,santa teresita,-76557.0,3447.0,2
8191,zona sur,4,6,800.0,221.0,2,4,3,apartamento,santa teresita,-76557.0,3389.0,17
8192,zona sur,5,4,225.0,74.0,1,2,3,apartamento,el refugio,-76557.0,3397.0,22
8193,zona sur,5,4,310.0,100.0,2,2,4,apartamento,el refugio,-76557.0,3397.0,4
8194,zona oeste,4,5,308.0,100.0,2,2,3,apartamento,guadalupe alto,-76557.0,3411.0,21
8195,zona oeste,4,4,117.0,53.0,1,1,2,apartamento,aguacatal,-76557.0,3456.0,19
8196,zona oeste,4,6,1220.0,229.0,3,3,3,apartamento,aguacatal,-76557.0,3459.0,18
8197,zona oeste,1,6,1100.0,216.0,3,3,3,apartamento,aguacatal,-76557.0,3459.0,3
8198,zona oeste,5,6,950.0,217.0,3,4,3,apartamento,aguacatal,-76557.0,3459.0,10
8199,zona sur,4,6,875.0,194.0,2,5,3,apartamento,aguacatal,-76557.0,3459.0,8
8146,zona sur,4,4,240.0,110.0,1,3,4,casa,seminario,-76556.0,3421.0,18
8147,zona sur,2,5,300.0,360.0,1,5,8,casa,el refugio,-76556.0,3394.0,27
8148,zona sur,2,5,590.0,540.0,3,5,5,casa,pampalinda,-76556.0,3405.0,24
8149,zona sur,2,4,450.0,170.0,1,2,3,casa,guadalupe,-76556.0,3417.0,15
8150,zona sur,2,6,545.0,142.0,2,4,3,casa,cuarto de legua,-76556.0,3.41,15
8151,zona sur,2,5,350.0,117.0,2,3,3,casa,cerros de guadalupe,-76556.0,3409.0,32
8152,zona oeste,4,6,1250.0,225.0,3,3,3,apartamento,santa teresita,-76556.0,3447.0,13
8153,zona oeste,2,6,800.0,162.0,3,4,3,apartamento,santa teresita,-76556.0,3449.0,5
8154,zona oeste,4,5,410.0,96.0,2,3,2,apartamento,santa teresita,-76556.0,341.832,3
8155,zona oeste,4,5,450.0,190.0,1,4,3,apartamento,el peñon,-76556.0,3451.0,27
8156,zona oeste,1,6,1400.0,400.0,2,5,3,apartamento,normandía,-76556.0,3451.0,9
8157,zona oeste,4,6,1000.0,289.0,4,5,3,apartamento,normandía,-76556.0,3451.0,31
8158,zona oeste,12,6,1250.0,286.0,4,5,4,apartamento,normandía,-76556.0,3451.0,29
8159,zona oeste,8,6,1400.0,320.0,3,5,3,apartamento,normandía,-76556.0,3451.0,23
8160,zona oeste,4,6,580.0,180.0,2,3,3,apartamento,normandía,-76556.0,3451.0,9
8161,zona oeste,6,6,1300.0,360.0,4,5,4,apartamento,normandia,-76556.0,3451.0,24
8162,zona oeste,1,6,1400.0,244.0,2,6,3,apartamento,normandía,-76556.0,3451.0,11
8163,zona oeste,4,6,595.0,118.0,2,3,2,apartamento,normandía west point,-76556.0,3451.0,14
8164,zona sur,2,3,115.0,58.0,1,1,3,apartamento,el gran limonar,-76556.0,3405.0,9
8165,zona sur,4,5,210.0,93.0,1,2,3,apartamento,la cascada,-76556.0,3.4,1
8166,zona oeste,11,6,1050.0,216.0,3,5,3,apartamento,aguacatal,-76556.0,3458.0,9
8167,zona oeste,4,6,1200.0,365.0,3,5,4,apartamento,aguacatal,-76556.0,3451.0,24
8082,zona oeste,4,6,1200.0,300.0,2,5,5,casa,santa teresita,-76555.0,3447.0,11
8083,zona sur,4,4,430.0,220.0,3,3,5,casa,el refugio,-76555.0,3395.0,7
8084,zona sur,2,5,420.0,200.0,2,4,6,casa,puente palma,-76555.0,3404.0,13
8085,zona sur,2,3,210.0,240.0,1,2,7,casa,prados del sur,-76555.0,338.805,18
8086,zona sur,3,3,220.0,240.0,1,3,7,casa,prados del sur,-76555.0,3.39,1
8087,zona sur,2,5,410.0,150.0,2,3,3,casa,nueva tequendama,-76555.0,3413.0,12
8088,zona norte,3,3,149.0,130.0,1,2,3,casa,brisas de los,-76555.0,3417.0,3
8089,zona sur,2,4,225.0,85.0,1,2,3,apartamento,valle del lili,-76555.0,3426.0,12
