piso,piso,piso,estrato,preciom,areaconst,parquea,banios,habitac,tipo,barrio,longitud,latitud,Id Comentarios
8312,Zona Oeste,4,6,1300,318,2,4,2,Apartamento,arboleda,-76576,3454,33
8311,Zona Oeste,1,6,480,300,1,4,4,Casa,normandía,-76571,3454,1
8307,Zona Oeste,NA,5,1200,800,4,7,5,Casa,miraflores,-76568,3455,25
8296,Zona Sur,2,3,220,150,1,2,4,Casa,el guabal,-76565,3417,29
8297,Zona Oeste,NA,5,330,112,2,4,3,Casa,bella suiza alta,-76565,3408,23
8298,Zona Sur,NA,5,1350,390,8,10,10,Casa,bella suiza alta,-76565,3409,32
8299,Zona Sur,2,6,305,125,2,3,3,Apartamento,bella suiza,-76565,3408,21
8300,Zona Oeste,NA,5,480,280,4,4,4,Apartamento,bella suiza alta,-76565,3408,7
8286,Zona Sur,NA,5,275,74,1,2,3,Apartamento,valle del lili,-76564,3409,13
8287,Zona Sur,2,5,285,120,2,4,3,Apartamento,bella suiza,-76564,3.41,34
8288,Zona Sur,1,5,310,166,2,4,3,Apartamento,bella suiza,-76564,3.41,33
8281,Zona Oeste,NA,3,175,155,NA,4,6,Casa,el nacional,-76563,3421,8
8282,Zona Oeste,6,6,640,157,2,3,3,Apartamento,santa teresita,-76563,3418,6
8283,Zona Oeste,NA,3,98,60,NA,2,3,Apartamento,aguacatal,-76563,3458,15
8274,Zona Oeste,2,5,416,98,1,2,2,Apartamento,santa teresita,-76562,3418,7
8275,Zona Oeste,8,6,700,123,2,3,4,Apartamento,bellavista,-76562,3423,9
8276,Zona Oeste,NA,5,393,131,2,3,3,Apartamento,bellavista,-76562,3423,25
8277,Zona Oeste,6,6,700,240,2,5,4,Apartamento,el peñon,-76562,345.139,27
8265,Zona Sur,NA,6,1390,350,4,7,3,Casa,la riverita,-76561,3455,34
8266,Zona Oeste,NA,6,360,90,1,1,2,Apartamento,normandía,-76561,3453,6
8267,Zona Oeste,3,3,110,55,NA,1,3,Apartamento,miradol del aguacatal,-76561,3461,26
8268,Zona Oeste,NA,3,142,50,NA,1,2,Apartamento,aguacatal,-76561,3455,25
8269,Zona Oeste,NA,4,123,60,NA,1,2,Apartamento,aguacatal,-76561,3455,8
8226,Zona Oeste,NA,3,165,114,NA,4,6,Casa,terrón colorado,-76559,3452,8
8227,Zona Oeste,1,6,1400,300,2,4,3,Apartamento,normandía,-76559,3375,5
8228,Zona Sur,1,3,145,60,1,2,3,Apartamento,mel√©ndez,-76559,3386,30
8229,Zona Sur,8,4,240,90,1,2,3,Apartamento,guadalupe,-76559,3417,3
8230,Zona Oeste,4,6,440,97,2,2,2,Apartamento,cristales,-76559,3419,22
8231,Zona Oeste,9,6,750,150,2,4,3,Apartamento,cristales,-76559,3419,14
8232,Zona Oeste,2,6,900,250,NA,5,4,Apartamento,bellavista,-76559,3419,8
8233,Zona Oeste,NA,6,900,342,3,5,3,Apartamento,la arboleda,-76559,3388,8
8234,Zona Oeste,NA,6,1100,320,3,4,3,Apartamento,aguacatal,-76559,3458,17
8214,Zona Sur,3,5,850,320,2,6,5,Casa,brisas de guadalupe,-76558,3412,22
8215,Zona Oeste,9,6,1200,194,3,4,3,Apartamento,santa teresita,-76558,3447,16
8185,Zona Sur,3,3,700,700,NA,3,6,Casa,el refugio,-76557,3395,3
8186,Zona Sur,NA,5,420,310,2,3,4,Casa,altos de guadalupe,-76557,3408,4
8187,Zona Sur,2,5,650,200,2,4,3,Casa,altos de guadalupe,-76557,3408,31
8188,Zona Oeste,NA,5,340,150,2,4,4,Apartamento,seminario,-76557,3408,2
8189,Zona Oeste,8,5,690,142,2,3,3,Apartamento,santa teresita,-76557,3447,24
8190,Zona Oeste,9,6,560,140,2,3,3,Apartamento,santa teresita,-76557,3447,2
8191,Zona Sur,NA,6,800,221,2,4,3,Apartamento,santa teresita,-76557,3389,17
8192,Zona Sur,5,4,225,74,1,2,3,Apartamento,el refugio,-76557,3397,22
8193,Zona Sur,5,4,310,100,2,2,4,Apartamento,el refugio,-76557,3397,4
8194,Zona Oeste,NA,5,308,100,2,2,3,Apartamento,guadalupe alto,-76557,3411,21
8195,Zona Oeste,NA,4,117,53,NA,1,2,Apartamento,aguacatal,-76557,3456,19
8196,Zona Oeste,NA,6,1220,229,3,3,3,Apartamento,aguacatal,-76557,3459,18
8197,Zona Oeste,1,6,1100,216,3,3,3,Apartamento,aguacatal,-76557,3459,3
8198,Zona Oeste,5,6,950,217,3,4,3,Apartamento,aguacatal,-76557,3459,10
8199,Zona Sur,NA,6,875,194,2,5,3,Apartamento,aguacatal,-76557,3459,8
8146,Zona Sur,NA,4,240,110,1,3,4,Casa,seminario,-76556,3421,18
8147,Zona Sur,2,5,300,360,NA,5,8,Casa,el refugio,-76556,3394,27
8148,Zona Sur,2,5,590,540,NA,5,5,Casa,pampalinda,-76556,3405,24
8149,Zona Sur,2,4,450,170,1,2,3,Casa,guadalupe,-76556,3417,15
8150,Zona Sur,2,6,545,142,2,4,3,Casa,cuarto de legua,-76556,3.41,15
8151,Zona Sur,2,5,350,117,2,3,3,Casa,cerros de guadalupe,-76556,3409,32
8152,Zona Oeste,NA,6,1250,225,3,3,3,Apartamento,santa teresita,-76556,3447,13
8153,Zona Oeste,2,6,800,162,3,4,3,Apartamento,santa teresita,-76556,3449,5
8154,Zona Oeste,NA,5,410,96,2,3,2,Apartamento,santa teresita,-76556,341.832,3
8155,Zona Oeste,NA,5,450,190,1,4,3,Apartamento,el peñon,-76556,3451,27
8156,Zona Oeste,1,6,1400,400,2,5,3,Apartamento,normandía,-76556,3451,9
8157,Zona Oeste,4,6,1000,289,4,5,3,Apartamento,normandía,-76556,3451,31
8158,Zona Oeste,12,6,1250,286,4,5,4,Apartamento,normandía,-76556,3451,29
8159,Zona Oeste,8,6,1400,320,3,5,3,Apartamento,normandía,-76556,3451,23
8160,Zona Oeste,NA,6,580,180,2,3,3,Apartamento,normandía,-76556,3451,9
8161,Zona Oeste,6,6,1300,360,4,5,4,Apartamento,normandia,-76556,3451,24
8162,Zona Oeste,1,6,1400,244,2,6,3,Apartamento,normandía,-76556,3451,11
8163,Zona Oeste,NA,6,595,118,2,3,2,Apartamento,normandía west point,-76556,3451,14
8164,Zona Sur,2,3,115,58,1,1,3,Apartamento,el gran limonar,-76556,3405,9
8165,Zona Sur,NA,5,210,93,1,2,3,Apartamento,la cascada,-76556,3.4,1
8166,Zona Oeste,11,6,1050,216,3,5,3,Apartamento,aguacatal,-76556,3458,9
8167,Zona Oeste,NA,6,1200,365,3,5,4,Apartamento,aguacatal,-76556,3451,24
8082,Zona Oeste,NA,6,1200,300,2,5,5,Casa,santa teresita,-76555,3447,11
8083,Zona Sur,NA,4,430,220,3,3,5,Casa,el refugio,-76555,3395,7
8084,Zona Sur,2,5,420,200,2,4,6,Casa,puente palma,-76555,3404,13
8085,Zona Sur,2,3,210,240,1,2,7,Casa,prados del sur,-76555,338.805,18
8086,Zona Sur,NA,3,220,240,1,3,7,Casa,prados del sur,-76555,3.39,1
8087,Zona Sur,2,5,410,150,2,3,3,Casa,nueva tequendama,-76555,3413,12
8088,Zona Norte,NA,3,149,130,NA,2,3,Casa,brisas de los,-76555,3417,3
8089,Zona Sur,2,4,225,85,1,2,3,Apartamento,valle del lili,-76555,3426,12
8090,Zona Sur,7,4,225,72,1,2,3,Apartamento,seminario,-76555,3413,23
8091,Zona Sur,4,5,377,115,2,4,3,Apartamento,seminario,-76555,3.41,32
8092,Zona Sur,NA,5,170,65,1,2,3,Apartamento,seminario,-76555,3408,19
8093,Zona Oeste,NA,6,730,133,2,3,3,Apartamento,santa teresita,-76555,3449,27
8094,Zona Oeste,NA,6,1395,230,2,4,3,Apartamento,santa teresita,-76555,3447,18
8095,Zona Oeste,6,6,1450,229,3,4,3,Apartamento,santa teresita,-76555,3448,24
8096,Zona Oeste,2,6,1350,229,3,5,3,Apartamento,santa teresita,-76555,3448,28
8097,Zona Oeste,7,6,600,278,3,5,3,Apartamento,santa teresita,-76555,3417,6
8098,Zona Oeste,9,6,1300,224,3,4,3,Apartamento,santa teresita,-76555,3448,23
8099,Zona Sur,NA,5,199,109,1,2,2,Apartamento,el refugio,-76555,3403,15
8100,Zona Oeste,6,5,450,128,2,4,4,Apartamento,cristales,-76555,3429,14
8101,Zona Oeste,7,5,465,132,2,4,3,Apartamento,bellavista,-76555,3445,19
8102,Zona Sur,5,5,344,107,2,2,3,Apartamento,altos de guadalupe,-76555,3.41,31
8004,Zona Sur,NA,5,450,260,2,4,4,Casa,urbanización las cascadas,-76554,3401,31
8005,Zona Oeste,NA,5,330,145,3,4,3,Casa,bellavista,-76554,3442,11
8006,Zona Sur,NA,5,260,84,1,3,3,Apartamento,sector cañaveralejo guadalupe,-76554,3411,2
8007,Zona Oeste,NA,6,410,129,NA,0,0,Apartamento,santa teresita,-76554,3447,32
8008,Zona Oeste,5,6,450,217,2,3,3,Apartamento,santa teresita,-76554,3.45,32
8009,Zona Oeste,NA,6,490,180,1,2,3,Apartamento,santa teresita,-76554,3452,27
8010,Zona Oeste,NA,6,1330,229,3,5,4,Apartamento,santa teresita,-76554,3445,18
8011,Zona Oeste,9,6,1600,457,4,5,4,Apartamento,santa teresita,-76554,3446,6
8012,Zona Oeste,1,6,440,119,3,2,2,Apartamento,santa teresita,-76554,3.45,18
8013,Zona Oeste,8,5,1300,300,3,7,5,Apartamento,santa teresita,-76554,3448,10
8014,Zona Sur,NA,6,700,152,2,4,3,Apartamento,santa teresita,-76554,3448,21
8015,Zona Sur,NA,6,590,142,2,4,3,Apartamento,santa teresita,-76554,3448,28
8016,Zona Oeste,3,6,430,186,2,3,3,Apartamento,santa teresita,-76554,3.45,30
8017,Zona Oeste,NA,6,230,110,1,2,4,Apartamento,santa rita,-76554,3452,30
8018,Zona Oeste,3,6,290,108,2,3,3,Apartamento,santa rita,-76554,3452,20
8019,Zona Oeste,NA,5,420,170,2,3,2,Apartamento,santa rita,-76554,3452,25
8020,Zona Oeste,1,6,1900,261,3,4,3,Apartamento,santa rita,-76554,3452,19
8021,Zona Oeste,8,6,1550,238,3,4,3,Apartamento,santa rita,-76554,3452,4
