Fecha,Local,Visitante,Marcador,Goles Local,Goles Visitante,Tarjetas Rojas Local,Tarjetas Rojas Visitante,Resultado Local,Resultado Visitante
26-01-2025,Alianza Petrolera,Independiente Medellín,1 - 1,1,1,0,0,Empate,Empate
02-02-2025,Deportivo Pereira,Alianza Petrolera,0 - 0,0,0,0,0,Empate,Empate
07-02-2025,Deportes Tolima,Alianza Petrolera,3 - 1,3,1,0,0,Victoria,Derrota
17-02-2025,Atlético Bucaramanga,Alianza Petrolera,0 - 0,0,0,0,0,Empate,Empate
22-02-2025,Alianza Petrolera,Atlético Nacional,3 - 2,3,2,0,0,Victoria,Derrota
01-03-2025,Once Caldas,Alianza Petrolera,1 - 2,1,2,0,0,Derrota,Victoria
07-03-2025,Alianza Petrolera,Unión Magdalena,1 - 0,1,0,0,0,Victoria,Derrota
24-01-2025,América de Cali,Llaneros,4 - 3,4,3,0,0,Victoria,Derrota
02-02-2025,Atlético Bucaramanga,América de Cali,0 - 4,0,4,0,0,Derrota,Victoria
07-02-2025,América de Cali,Deportivo Pasto,1 - 1,1,1,0,0,Empate,Empate
14-02-2025,América de Cali,Santa Fe,2 - 0,2,0,0,0,Victoria,Derrota
23-02-2025,Deportes Tolima,América de Cali,0 - 0,0,0,0,0,Empate,Empate
01-03-2025,América de Cali,Deportivo Pereira,2 - 0,2,0,0,0,Victoria,Derrota
09-03-2025,Atlético Nacional,América de Cali,1 - 0,1,0,0,0,Victoria,Derrota
23-01-2025,Boyacá Chicó,Atlético Bucaramanga,1 - 0,1,0,2,0,Victoria,Derrota
02-02-2025,Atlético Bucaramanga,América de Cali,0 - 4,0,4,0,0,Derrota,Victoria
08-02-2025,Once Caldas,Atlético Bucaramanga,2 - 1,2,1,0,0,Victoria,Derrota
14-02-2025,Deportivo Cali,Atlético Bucaramanga,0 - 0,0,0,0,0,Empate,Empate
17-02-2025,Atlético Bucaramanga,Alianza Petrolera,0 - 0,0,0,0,0,Empate,Empate
28-02-2025,Atlético Bucaramanga,Junior FC,1 - 1,1,1,0,0,Empate,Empate
07-03-2025,Rionegro Águilas,Atlético Bucaramanga,0 - 1,0,1,0,0,Derrota,Victoria
25-01-2025,Atlético Nacional,Once Caldas,4 - 0,4,0,0,0,Victoria,Derrota
01-02-2025,La Equidad,Atlético Nacional,0 - 1,0,1,2,3,Derrota,Victoria
09-02-2025,Atlético Nacional,Deportivo Pereira,3 - 0,3,0,0,0,Victoria,Derrota
12-02-2025,Santa Fe,Atlético Nacional,2 - 2,2,2,0,0,Empate,Empate
22-02-2025,Alianza Petrolera,Atlético Nacional,3 - 2,3,2,0,0,Victoria,Derrota
04-03-2025,Fortaleza CEIF,Atlético Nacional,1 - 5,1,5,0,0,Derrota,Victoria
09-03-2025,Atlético Nacional,América de Cali,1 - 0,1,0,0,0,Victoria,Derrota
23-01-2025,Boyacá Chicó,Atlético Bucaramanga,1 - 0,1,0,2,0,Victoria,Derrota
01-02-2025,Independiente Medellín,Boyacá Chicó,3 - 0,3,0,0,0,Victoria,Derrota
07-02-2025,Boyacá Chicó,Llaneros,2 - 2,2,2,0,0,Empate,Empate
11-02-2025,Deportivo Pasto,Boyacá Chicó,3 - 0,3,0,0,0,Victoria,Derrota
18-02-2025,Boyacá Chicó,Junior FC,0 - 2,0,2,0,0,Derrota,Victoria
21-02-2025,La Equidad,Boyacá Chicó,0 - 1,0,1,0,0,Derrota,Victoria
28-02-2025,Boyacá Chicó,Rionegro Águilas,1 - 1,1,1,0,0,Empate,Empate
09-03-2025,Deportivo Cali,Boyacá Chicó,0 - 0,0,0,0,0,Empate,Empate
27-01-2025,Deportes Tolima,Deportivo Pasto,2 - 0,2,0,0,0,Victoria,Derrota
31-01-2025,Santa Fe,Deportes Tolima,0 - 0,0,0,0,0,Empate,Empate
07-02-2025,Deportes Tolima,Alianza Petrolera,3 - 1,3,1,0,0,Victoria,Derrota
13-02-2025,Deportivo Pereira,Deportes Tolima,0 - 0,0,0,0,0,Empate,Empate
23-02-2025,Deportes Tolima,América de Cali,0 - 0,0,0,0,0,Empate,Empate
01-03-2025,Millonarios,Deportes Tolima,2 - 0,2,0,0,0,Victoria,Derrota
10-03-2025,Deportes Tolima,Once Caldas,2 - 0,2,0,0,0,Victoria,Derrota
25-01-2025,Junior FC,Deportivo Cali,0 - 0,0,0,0,0,Empate,Empate
01-02-2025,Deportivo Cali,Envigado,1 - 0,1,0,0,0,Victoria,Derrota
08-02-2025,Fortaleza CEIF,Deportivo Cali,1 - 0,1,0,0,0,Victoria,Derrota
14-02-2025,Deportivo Cali,Atlético Bucaramanga,0 - 0,0,0,0,0,Empate,Empate
17-02-2025,Llaneros,Deportivo Cali,0 - 1,0,1,0,0,Derrota,Victoria
22-02-2025,Deportivo Cali,Millonarios,3 - 1,3,1,0,0,Victoria,Derrota
02-03-2025,Unión Magdalena,Deportivo Cali,2 - 2,2,2,0,0,Empate,Empate
09-03-2025,Deportivo Cali,Boyacá Chicó,0 - 0,0,0,0,0,Empate,Empate
27-01-2025,Deportes Tolima,Deportivo Pasto,2 - 0,2,0,0,0,Victoria,Derrota
31-01-2025,Deportivo Pasto,Millonarios,0 - 1,0,1,0,0,Derrota,Victoria
07-02-2025,América de Cali,Deportivo Pasto,1 - 1,1,1,0,0,Empate,Empate
11-02-2025,Deportivo Pasto,Boyacá Chicó,3 - 0,3,0,0,0,Victoria,Derrota
16-02-2025,Envigado,Deportivo Pasto,0 - 1,0,1,0,0,Derrota,Victoria
25-02-2025,Deportivo Pasto,Unión Magdalena,2 - 1,2,1,0,0,Victoria,Derrota
03-03-2025,Independiente Medellín,Deportivo Pasto,1 - 0,1,0,0,0,Victoria,Derrota
07-03-2025,Deportivo Pasto,Llaneros,1 - 0,1,0,0,0,Victoria,Derrota
25-01-2025,Santa Fe,Deportivo Pereira,2 - 1,2,1,0,0,Victoria,Derrota
02-02-2025,Deportivo Pereira,Alianza Petrolera,0 - 0,0,0,0,0,Empate,Empate
09-02-2025,Atlético Nacional,Deportivo Pereira,3 - 0,3,0,0,0,Victoria,Derrota
13-02-2025,Deportivo Pereira,Deportes Tolima,0 - 0,0,0,0,0,Empate,Empate
19-02-2025,Once Caldas,Deportivo Pereira,3 - 1,3,1,0,0,Victoria,Derrota
22-02-2025,Deportivo Pereira,Fortaleza CEIF,2 - 0,2,0,0,0,Victoria,Derrota
01-03-2025,América de Cali,Deportivo Pereira,2 - 0,2,0,0,0,Victoria,Derrota
07-03-2025,Deportivo Pereira,Envigado,2 - 0,2,0,0,0,Victoria,Derrota
28-01-2025,Fortaleza CEIF,Envigado,0 - 0,0,0,0,0,Empate,Empate
01-02-2025,Deportivo Cali,Envigado,1 - 0,1,0,0,0,Victoria,Derrota
08-02-2025,Envigado,Independiente Medellín,0 - 1,0,1,0,2,Derrota,Victoria
12-02-2025,La Equidad,Envigado,2 - 3,2,3,0,2,Derrota,Victoria
16-02-2025,Envigado,Deportivo Pasto,0 - 1,0,1,0,0,Derrota,Victoria
24-02-2025,Junior FC,Envigado,1 - 2,1,2,0,0,Derrota,Victoria
27-02-2025,Envigado,Santa Fe,1 - 7,1,7,0,0,Derrota,Victoria
07-03-2025,Deportivo Pereira,Envigado,2 - 0,2,0,0,0,Victoria,Derrota
28-01-2025,Fortaleza CEIF,Envigado,0 - 0,0,0,0,0,Empate,Empate
31-01-2025,Once Caldas,Fortaleza CEIF,2 - 1,2,1,0,0,Victoria,Derrota
08-02-2025,Fortaleza CEIF,Deportivo Cali,1 - 0,1,0,0,0,Victoria,Derrota
17-02-2025,Fortaleza CEIF,Rionegro Águilas,2 - 1,2,1,0,0,Victoria,Derrota
22-02-2025,Deportivo Pereira,Fortaleza CEIF,2 - 0,2,0,0,0,Victoria,Derrota
04-03-2025,Fortaleza CEIF,Atlético Nacional,1 - 5,1,5,0,0,Derrota,Victoria
08-03-2025,Santa Fe,Fortaleza CEIF,2 - 0,2,0,0,0,Victoria,Derrota
26-01-2025,Alianza Petrolera,Independiente Medellín,1 - 1,1,1,0,0,Empate,Empate
01-02-2025,Independiente Medellín,Boyacá Chicó,3 - 0,3,0,0,0,Victoria,Derrota
08-02-2025,Envigado,Independiente Medellín,0 - 1,0,1,0,2,Derrota,Victoria
11-02-2025,Independiente Medellín,Unión Magdalena,1 - 1,1,1,0,0,Empate,Empate
15-02-2025,Millonarios,Independiente Medellín,0 - 1,0,1,0,0,Derrota,Victoria
27-02-2025,Independiente Medellín,Llaneros,3 - 0,3,0,0,0,Victoria,Derrota
03-03-2025,Independiente Medellín,Deportivo Pasto,1 - 0,1,0,0,0,Victoria,Derrota
08-03-2025,La Equidad,Independiente Medellín,0 - 0,0,0,0,0,Empate,Empate
25-01-2025,Junior FC,Deportivo Cali,0 - 0,0,0,0,0,Empate,Empate
01-02-2025,Junior FC,Rionegro Águilas,2 - 2,2,2,0,0,Empate,Empate
07-02-2025,Unión Magdalena,Junior FC,0 - 0,0,0,0,0,Empate,Empate
