Fecha,Equipo Local,Marcador,Equipo Visitante,Tarjeta Roja Local,Tarjeta Roja Visitante
26-01-2025,Alianza Petrolera,1 - 1,Independiente Medellín,0,0
02-02-2025,Deportivo Pereira,0 - 0,Alianza Petrolera,0,0
07-02-2025,Deportes Tolima,3 - 1,Alianza Petrolera,0,0
17-02-2025,Atlético Bucaramanga,0 - 0,Alianza Petrolera,0,0
22-02-2025,Alianza Petrolera,3 - 2,Atlético Nacional,0,0
01-03-2025,Once Caldas,1 - 2,Alianza Petrolera,0,0
07-03-2025,Alianza Petrolera,1 - 0,Unión Magdalena,0,0
24-01-2025,América de Cali,4 - 3,Llaneros,0,0
02-02-2025,Atlético Bucaramanga,0 - 4,América de Cali,0,0
07-02-2025,América de Cali,1 - 1,Deportivo Pasto,0,0
14-02-2025,América de Cali,2 - 0,Santa Fe,0,0
23-02-2025,Deportes Tolima,0 - 0,América de Cali,0,0
01-03-2025,América de Cali,2 - 0,Deportivo Pereira,0,0
09-03-2025,Atlético Nacional,1 - 0,América de Cali,0,0
23-01-2025,Boyacá Chicó,1 - 0,Atlético Bucaramanga,2,0
02-02-2025,Atlético Bucaramanga,0 - 4,América de Cali,0,0
08-02-2025,Once Caldas,2 - 1,Atlético Bucaramanga,0,0
14-02-2025,Deportivo Cali,0 - 0,Atlético Bucaramanga,0,0
17-02-2025,Atlético Bucaramanga,0 - 0,Alianza Petrolera,0,0
28-02-2025,Atlético Bucaramanga,1 - 1,Junior FC,0,0
07-03-2025,Rionegro Águilas,0 - 1,Atlético Bucaramanga,0,0
25-01-2025,Atlético Nacional,4 - 0,Once Caldas,0,0
01-02-2025,La Equidad,0 - 1,Atlético Nacional,2,3
09-02-2025,Atlético Nacional,3 - 0,Deportivo Pereira,0,0
12-02-2025,Santa Fe,2 - 2,Atlético Nacional,0,0
22-02-2025,Alianza Petrolera,3 - 2,Atlético Nacional,0,0
04-03-2025,Fortaleza CEIF,1 - 5,Atlético Nacional,0,0
09-03-2025,Atlético Nacional,1 - 0,América de Cali,0,0
23-01-2025,Boyacá Chicó,1 - 0,Atlético Bucaramanga,2,0
01-02-2025,Independiente Medellín,3 - 0,Boyacá Chicó,0,0
07-02-2025,Boyacá Chicó,2 - 2,Llaneros,0,0
11-02-2025,Deportivo Pasto,3 - 0,Boyacá Chicó,0,0
18-02-2025,Boyacá Chicó,0 - 2,Junior FC,0,0
21-02-2025,La Equidad,0 - 1,Boyacá Chicó,0,0
28-02-2025,Boyacá Chicó,1 - 1,Rionegro Águilas,0,0
09-03-2025,Deportivo Cali,0 - 0,Boyacá Chicó,0,0
27-01-2025,Deportes Tolima,2 - 0,Deportivo Pasto,0,0
31-01-2025,Santa Fe,0 - 0,Deportes Tolima,0,0
07-02-2025,Deportes Tolima,3 - 1,Alianza Petrolera,0,0
13-02-2025,Deportivo Pereira,0 - 0,Deportes Tolima,0,0
23-02-2025,Deportes Tolima,0 - 0,América de Cali,0,0
01-03-2025,Millonarios,2 - 0,Deportes Tolima,0,0
10-03-2025,Deportes Tolima,2 - 0,Once Caldas,0,0
25-01-2025,Junior FC,0 - 0,Deportivo Cali,0,0
01-02-2025,Deportivo Cali,1 - 0,Envigado,0,0
08-02-2025,Fortaleza CEIF,1 - 0,Deportivo Cali,0,0
14-02-2025,Deportivo Cali,0 - 0,Atlético Bucaramanga,0,0
17-02-2025,Llaneros,0 - 1,Deportivo Cali,0,0
22-02-2025,Deportivo Cali,3 - 1,Millonarios,0,0
02-03-2025,Unión Magdalena,2 - 2,Deportivo Cali,0,0
09-03-2025,Deportivo Cali,0 - 0,Boyacá Chicó,0,0
27-01-2025,Deportes Tolima,2 - 0,Deportivo Pasto,0,0
31-01-2025,Deportivo Pasto,0 - 1,Millonarios,0,0
07-02-2025,América de Cali,1 - 1,Deportivo Pasto,0,0
11-02-2025,Deportivo Pasto,3 - 0,Boyacá Chicó,0,0
16-02-2025,Envigado,0 - 1,Deportivo Pasto,0,0
25-02-2025,Deportivo Pasto,2 - 1,Unión Magdalena,0,0
03-03-2025,Independiente Medellín,1 - 0,Deportivo Pasto,0,0
07-03-2025,Deportivo Pasto,1 - 0,Llaneros,0,0
25-01-2025,Santa Fe,2 - 1,Deportivo Pereira,0,0
02-02-2025,Deportivo Pereira,0 - 0,Alianza Petrolera,0,0
09-02-2025,Atlético Nacional,3 - 0,Deportivo Pereira,0,0
13-02-2025,Deportivo Pereira,0 - 0,Deportes Tolima,0,0
19-02-2025,Once Caldas,3 - 1,Deportivo Pereira,0,0
22-02-2025,Deportivo Pereira,2 - 0,Fortaleza CEIF,0,0
01-03-2025,América de Cali,2 - 0,Deportivo Pereira,0,0
07-03-2025,Deportivo Pereira,2 - 0,Envigado,0,0
28-01-2025,Fortaleza CEIF,0 - 0,Envigado,0,0
01-02-2025,Deportivo Cali,1 - 0,Envigado,0,0
08-02-2025,Envigado,0 - 1,Independiente Medellín,0,2
12-02-2025,La Equidad,2 - 3,Envigado,0,2
16-02-2025,Envigado,0 - 1,Deportivo Pasto,0,0
24-02-2025,Junior FC,1 - 2,Envigado,0,0
27-02-2025,Envigado,1 - 7,Santa Fe,0,0
07-03-2025,Deportivo Pereira,2 - 0,Envigado,0,0
28-01-2025,Fortaleza CEIF,0 - 0,Envigado,0,0
31-01-2025,Once Caldas,2 - 1,Fortaleza CEIF,0,0
08-02-2025,Fortaleza CEIF,1 - 0,Deportivo Cali,0,0
17-02-2025,Fortaleza CEIF,2 - 1,Rionegro Águilas,0,0
22-02-2025,Deportivo Pereira,2 - 0,Fortaleza CEIF,0,0
04-03-2025,Fortaleza CEIF,1 - 5,Atlético Nacional,0,0
08-03-2025,Santa Fe,2 - 0,Fortaleza CEIF,0,0
26-01-2025,Alianza Petrolera,1 - 1,Independiente Medellín,0,0
01-02-2025,Independiente Medellín,3 - 0,Boyacá Chicó,0,0
08-02-2025,Envigado,0 - 1,Independiente Medellín,0,2
11-02-2025,Independiente Medellín,1 - 1,Unión Magdalena,0,0
15-02-2025,Millonarios,0 - 1,Independiente Medellín,0,0
27-02-2025,Independiente Medellín,3 - 0,Llaneros,0,0
03-03-2025,Independiente Medellín,1 - 0,Deportivo Pasto,0,0
08-03-2025,La Equidad,0 - 0,Independiente Medellín,0,0
25-01-2025,Junior FC,0 - 0,Deportivo Cali,0,0
01-02-2025,Junior FC,2 - 2,Rionegro Águilas,0,0
07-02-2025,Unión Magdalena,0 - 0,Junior FC,0,0
12-02-2025,Junior FC,2 - 0,Once Caldas,0,0
18-02-2025,Boyacá Chicó,0 - 2,Junior FC,0,0
24-02-2025,Junior FC,1 - 2,Envigado,0,0
28-02-2025,Atlético Bucaramanga,1 - 1,Junior FC,0,0
08-03-2025,Junior FC,2 - 1,Millonarios,0,0
26-01-2025,Rionegro Águilas,1 - 1,La Equidad,0,0
01-02-2025,La Equidad,0 - 1,Atlético Nacional,2,3
08-02-2025,Millonarios,2 - 1,La Equidad,0,0
12-02-2025,La Equidad,2 - 3,Envigado,0,2
15-02-2025,Unión Magdalena,0 - 0,La Equidad,0,0
21-02-2025,La Equidad,0 - 1,Boyacá Chicó,0,0
03-03-2025,Llaneros,1 - 0,La Equidad,0,0
08-03-2025,La Equidad,0 - 0,Independiente Medellín,0,0
24-01-2025,América de Cali,4 - 3,Llaneros,0,0
